"writer","source","destination","year","date"
"Languet, Hubert","Cologne","Antwerp","1578","15781009"
"Languet, Hubert","Ghent","Antwerp","1578","15781224"
"Banos, Theophile de","Frankfurt","Antwerp","1578","NA"
"Oudenforte, R.","Lier","Antwerp","1580","15800402"
"Burmania, Dominiques de","Duisburg","Cologne","1580","15801010"
"Albada, Aggaeus de","Cologne","Antwerp","1582","15820318"
"Albada, Aggaeus de","Cologne","Antwerp","1582","15820729"
"Goyvaerts, Hendrick","Frankfurt","Antwerp","1582","15820922"
"Burmania, Dominiques de","Haarlem","Antwerp","1582","15820923"
"Albada, Aggaeus de","Cologne","Antwerp","1582","15821028"
"Burmania, Dominiques de","Haarlem","Antwerp","1582","15821218"
"Albada, Aggaeus de","Cologne","Antwerp","1582","15821223"
"Albada, Aggaeus de","Cologne","Antwerp","1583","15830127"
"Moyen, Rodericus der","NA","Antwerp","1583","15830202"
"Banos, Theophile de","Frankfurt","Antwerp","1583","15830929"
"Lempereur, Antonio","Cologne","Antwerp","1584","15840130"
"Lempereur, Antonio","Cologne","Antwerp","1584","15840205"
"Lempereur, Antonio","Cologne","Antwerp","1584","15840226"
"Staten van Brabant","Antwerp","Middelburg","1584","15840824"
"Lare, J. van","Middelburg","Middelburg","1584","15840829"
"Staten van Brabant","Antwerp","Middelburg","1584","15840901"
"Staten van Brabant","Antwerp","Middelburg","1584","15840903"
"Staten van Brabant","Antwerp","Delft","1584","15840906"
"Meulen, Andries van der","Antwerp","Delft","1584","15840907"
"Staten van Brabant","Antwerp","Delft","1584","15840907"
"Staten van Brabant","Antwerp","Middelburg","1584","15840908"
"Staten van Brabant","Antwerp","Middelburg","1584","15840922"
"Staten van Brabant","Antwerp","Delft","1584","15840922"
"Staten van Brabant","Antwerp","Delft","1584","15840928"
"Staten van Brabant","Antwerp","Delft","1584","15841002"
"Meulen, Andries van der","Antwerp","Delft","1584","15841003"
"Meulen, Andries van der","Antwerp","Delft","1584","15841005"
"Staten van Brabant","Antwerp","Delft","1584","15841007"
"Meulen, Andries van der","Antwerp","Delft","1584","15841010"
"Meulen, Andries van der","Antwerp","Delft","1584","15841012"
"Burgemeesters of Antwerp","Antwerp","Delft","1584","15841014"
"Meulen, Andries van der","Antwerp","Delft","1584","15841016"
"Meulen, Andries van der","Antwerp","Delft","1584","15841017"
"Meulen, Andries van der","Antwerp","Delft","1584","15841018"
"Meulen, Andries van der","Antwerp","Delft","1584","15841024"
"Meulen, Andries van der","Antwerp","Delft","1584","15841025"
"Meulen, Andries van der","Antwerp","Delft","1584","15841027"
"Meulen, Sara van der","Antwerp","Delft","1584","15841029"
"Janssen van der Meulen, Peeter","Antwerp","Delft","1584","15841029"
"Meulen, Andries van der","Antwerp","Delft","1584","15841103"
"Meulen, Sara van der","Antwerp","Delft","1584","15841105"
"Meulen, Andries van der","Antwerp","Delft","1584","15841105"
"Meulen, Andries van der","Antwerp","Delft","1584","15841105"
"Meulen, Andries van der","Antwerp","Delft","1584","15841108"
"Janssen van der Meulen, Peeter","Antwerp","Delft","1584","15841109"
"Hoest, Mattheus de","Antwerp","Delft","1584","15841110"
"Meulen, Andries van der","Antwerp","Delft","1584","15841110"
"Meulen, Andries van der","Antwerp","Delft","1584","15841112"
"Meulen, Andries van der","Antwerp","Delft","1584","15841117"
"Meulen, Andries van der","Antwerp","Delft","1584","15841118"
"Staten van Brabant","Antwerp","Delft","1584","15841119"
"Lempereur, Antonio","Cologne","Antwerp","1584","15841120"
"Meulen, Andries van der","Antwerp","Delft","1584","15841124"
"Meulen, Andries van der","Antwerp","Delft","1584","15841124"
"Meulen, Andries van der","Antwerp","Delft","1584","15841125"
"Meulen, Andries van der","Antwerp","Delft","1584","15841128"
"Meulen, Andries van der","Antwerp","Delft","1584","15841128"
"Meulen, Andries van der","Antwerp","Delft","1584","15841202"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841204"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841205"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841207"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841208"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841208"
"Janssen van der Meulen, Peeter","Antwerp","Delft","1584","15841210"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841210"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841213"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841217"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841225"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841229"
"Janssen van der Meulen, Peeter","Antwerp","Delft","1584","15841230"
"Meulen, Andries van der","Antwerp","Haarlem","1584","15841230"
"Della Faille, Jacques","Haarlem","The Hague","1585","15841212"
"Meulen, Andries van der","Antwerp","Delft","1585","15850103"
"Meulen, Andries van der","Antwerp","Haarlem","1585","15850109"
"Meulen, Andries van der","Antwerp","Haarlem","1585","15850111"
"Meulen, Andries van der","Antwerp","Delft","1585","15850112"
"Meulen, Andries van der","Antwerp","Haarlem","1585","15850112"
"Meulen, Andries van der","Antwerp","Delft","1585","15850117"
"Meulen, Andries van der","Antwerp","Delft","1585","15850122"
"Meulen, Andries van der","Antwerp","Delft","1585","15850123"
"Della Faille, Marten","Antwerp","Haarlem","1585","15850124"
"Meulen, Andries van der","Antwerp","Delft","1585","15850128"
"Meulen, Andries van der","Antwerp","Delft","1585","15850130"
"Meulen, Andries van der","Antwerp","Delft","1585","15850205"
"Meulen, Andries van der","Antwerp","Delft","1585","15850207"
"Della Faille, Jacques","Haarlem","Delft","1585","15850210"
"Meulen, Andries van der","Antwerp","Delft","1585","15850211"
"Meulen, Andries van der","Antwerp","Delft","1585","15850216"
"Della Faille, Jacques","Haarlem","The Hague","1585","15850220"
"Meulen, Andries van der","Antwerp","Delft","1585","15850220"
"Della Faille, Jacques","Haarlem","Delft","1585","15850221"
"Meulen, Andries van der","Antwerp","Delft","1585","15850222"
"Meulen, Andries van der","Antwerp","Delft","1585","15850225"
"Staten van Brabant","Antwerp","Delft","1585","15850225"
"Meulen, Andries van der","Antwerp","Delft","1585","15850226"
"Staten van Brabant","Antwerp","Delft","1585","15850226"
"Meulen, Andries van der","Antwerp","Delft","1585","15850227"
"Meulen, Andries van der","Antwerp","Delft","1585","15850302"
"Meulen, Andries van der","Antwerp","Delft","1585","15850305"
"Meulen, Andries van der","Antwerp","Delft","1585","15850309"
"Meulen, Andries van der","Antwerp","Delft","1585","15850311"
"Della Faille, Jacques","Haarlem","Delft","1585","15850312"
"Meulen, Andries van der","Antwerp","Delft","1585","15850313"
"Della Faille, Jacques","Haarlem","Delft","1585","15850314"
"Meulen, Andries van der","Antwerp","Delft","1585","15850314"
"Staten van Brabant","Antwerp","Delft","1585","15850314"
"Meulen, Andries van der","Antwerp","Delft","1585","15850315"
"Meulen, Andries van der","Antwerp","Delft","1585","15850319"
"Della Faille, Jacques","Haarlem","Delft","1585","15850325"
"Della Faille, Joris","Dordrecht","Haarlem","1585","15850325"
"Meulen, Andries van der","Antwerp","Delft","1585","15850325"
"Della Faille, Marten","Antwerp","Haarlem","1585","15850328"
"Meulen, Andries van der","Antwerp","Delft","1585","15850328"
"Meulen, Andries van der","Antwerp","Delft","1585","15850330"
"Meulen, Andries van der","Antwerp","Delft","1585","15850331"
"Meulen, Andries van der","Antwerp","Delft","1585","15850406"
"Meulen, Andries van der","Antwerp","Delft","1585","15850410"
"Eeckeren, Robert van","Haarlem","Delft","1585","15850411"
"Meulen, Andries van der","Antwerp","Delft","1585","15850411"
"Meulen, Andries van der","Antwerp","Delft","1585","15850419"
"Meulen, Andries van der","Antwerp","Delft","1585","15850424"
"Anraet, Thomas","Antwerp","Delft","1585","15850427"
"Meulen, Andries van der","Antwerp","Delft","1585","15850428"
"Meulen, Andries van der","Antwerp","Delft","1585","15850430"
"Della Faille, Jacques","Haarlem","Delft","1585","15850501"
"Meulen, Andries van der","Antwerp","Middelburg","1585","15850504"
"Della Faille, Jacques","Haarlem","Delft","1585","15850508"
"Della Faille, Marten","Antwerp","Delft","1585","15850509"
"Meulen, Andries van der","Antwerp","Delft","1585","15850509"
"Meulen, Andries van der","Antwerp","Delft","1585","15850511"
"Della Faille, Jacques","Haarlem","Delft","1585","15850512"
"Meulen, Andries van der","Antwerp","Delft","1585","15850517"
"Della Faille, Jacques","Haarlem","Delft","1585","15850520"
"Della Faille, Marten","Antwerp","Delft","1585","15850528"
"Della Faille, Jacques","Haarlem","Delft","1585","15850528"
"Meulen, Andries van der","Antwerp","Delft","1585","15850528"
"Meulen, Andries van der","Antwerp","Delft","1585","15850528"
"Meulen, Andries van der","Antwerp","Delft","1585","15850530"
"Meulen, Andries van der","Antwerp","Delft","1585","15850601"
"Meulen, Andries van der","Antwerp","Delft","1585","15850604"
"Della Faille, Jacques","Haarlem","Middelburg","1585","15850611"
"Staten van Brabant","Antwerp","The Hague","1585","15850613"
"Meulen, Andries van der","Antwerp","Delft","1585","15850614"
"Della Faille, Jacques","Haarlem","NA","1585","15850617"
"Burgemeesters of Antwerp","Antwerp","The Hague","1585","15850619"
"Meulen, Andries van der","Antwerp","Delft","1585","15850620"
"Wale, Jan de","Venice","Haarlem","1585","15850623"
"Meulen, Andries van der","Antwerp","Delft","1585","15850629"
"Meulen, Andries van der","Antwerp","Delft","1585","15850705"
"Meulen, Andries van der","Antwerp","Delft","1585","15850709"
"Meulen, Andries van der","Antwerp","Delft","1585","15850712"
"Meulen, Andries van der","Antwerp","Delft","1585","15850713"
"Meulen, Andries van der","Antwerp","Delft","1585","15850719"
"Meulen, Andries van der","Antwerp","Delft","1585","15850725"
"Meulen, Andries van der","Antwerp","Delft","1585","15850727"
"Della Faille, Jacques","Lisse","Delft","1585","15850729"
"Meulen, Andries van der","Antwerp","Delft","1585","15850731"
"Meulen, Andries van der","Antwerp","Delft","1585","15850801"
"Della Faille, Jacques","Haarlem","Delft","1585","15850802"
"Della Faille, Jacques","Haarlem","Delft","1585","15850806"
"Calvart, Jacques","Haarlem","Delft","1585","15850806"
"Della Faille, Jacques","Haarlem","Delft","1585","15850807"
"Meulen, Andries van der","Antwerp","Delft","1585","15850808"
"Della Faille, Jacques","Haarlem","Delft","1585","15850809"
"Della Faille, Jacques","Haarlem","Delft","1585","15850812"
"Meulen, Andries van der","Antwerp","Delft","1585","15850812"
"Meulen, Andries van der","Antwerp","Delft","1585","15850816"
"Della Faille, Jacques","Haarlem","Delft","1585","15850818"
"Della Faille, Jacques","Haarlem","Delft","1585","15850822"
"Meulen, Andries van der","Antwerp","Delft","1585","15850822"
"Wale, Jan de","Venice","Haarlem","1585","15850830"
"Della Faille, Jacques","Haarlem","Delft","1585","15850902"
"Della Faille, Jacques","Haarlem","Delft","1585","15850903"
"Janssen van der Meulen, Peeter","Antwerp","Delft","1585","15850904"
"Della Faille, Jacques","Haarlem","Delft","1585","15850906"
"Della Faille, Jacques","Haarlem","Delft","1585","15850907"
"Della Faille, Jacques","Haarlem","Delft","1585","15850908"
"Della Faille, Jacques","Haarlem","Delft","1585","15850910"
"Della Faille, Jacques","Haarlem","Delft","1585","15850914"
"Della Faille, Marten","Antwerp","Delft","1585","15850916"
"Della Faille, Marten","Antwerp","Delft","1585","15850917"
"Della Faille, Jacques","Het Vlie","Bremen","1585","15851021"
"Della Faille, Jacques","Hamburg","Bremen","1585","15851030"
"Della Faille, Jacques","Emden","Bremen","1585","15851130"
"Noirot, Jacques","Haarlem","Bremen","1585","15851216"
"Noirot, Jacques","Amsterdam","Bremen","1585","15851220"
"Della Faille, Jacques","Haarlem","Bremen","1585","15851227"
"Della Faille, Marten","Antwerp","Bremen","1586","15860105"
"Della Faille, Jacques","Haarlem","Bremen","1586","15860118"
"Della Faille, Jacques","Haarlem","Bremen","1586","15860213"
"Meulen, Andries van der","Bremen","Brunswick","1586","15860214"
"Della Faille, Jacques","Haarlem","Bremen","1586","15860416"
"Meulen, Andries van der","Bremen","Haarlem","1586","15860522"
"Della Faille, Jacques","Haarlem","Middelburg","1586","15860530"
"Meulen, Andries van der","Bremen","Middelburg","1586","15860531"
"Della Faille, Jacques","The Hague","Delft","1586","15860601"
"Della Faille, Jacques","The Hague","Delft","1586","15860601"
"Della Faille, Jacques","Haarlem","Utrecht","1586","15860601"
"Meulen, Andries van der","Bremen","Middelburg","1586","15860604"
"Meulen, Andries van der","Bremen","London","1586","15860612"
"Meulen, Andries van der","Bremen","London","1586","15860617"
"Meulen, Andries van der","Bremen","London","1586","15860625"
"Meulen, Andries van der","Bremen","London","1586","15860710"
"Meulen, Andries van der","Bremen","London","1586","15860719"
"Meulen, Andries van der","Bremen","London","1586","15860722"
"Meulen, Andries van der","Bremen","London","1586","15860725"
"Meulen, Andries van der","Bremen","London","1586","15860726"
"Meulen, Andries van der","Bremen","London","1586","15860729"
"Della Faille, Marten","Antwerp","London","1586","15860821"
"Meulen, Andries van der","Bremen","London","1586","15860826"
"Della Faille, Marten","Antwerp","London","1586","15860912"
"Meulen, Andries van der","Bremen","London","1586","15860915"
"Della Faille, Marten","Antwerp","London","1586","15860928"
"Meulen, Andries van der","Bremen","NA","1586","15861011"
"Meulen, Andries van der","Bremen","NA","1586","15861031"
"Meulen, Andries van der","Bremen","NA","1586","15861104"
"Della Faille, Jacques","London","Bremen","1586","15861106"
"Della Faille, Jacques","London","Bremen","1586","15861209"
"Della Faille, Jacques","London","Bremen","1586","15861217"
"Hamels, Josina","Haarlem","Bremen","1587","15870102"
"Della Faille, Jacques","London","Bremen","1587","15870128"
"Hamels, Josina","Haarlem","Bremen","1587","15870213"
"Della Faille, Jacques","London","Bremen","1587","15870306"
"Della Faille, Jacques","Haarlem","Bremen","1587","15870412"
"Della Faille, Jan","Leiden","Bremen","1587","15870503"
"Eeckeren, Hester van","Dordrecht","Bremen","1587","15870617"
"Eeckeren, Robert van","Antwerp","Bremen","1587","15870620"
"Della Faille, Jacques","Haarlem","Bremen","1587","15870709"
"Della Faille, Marten","Antwerp","Bremen","1587","15870726"
"Della Faille, Jacques","Haarlem","Bremen","1587","15870901"
"Eeckeren, Robert van","Antwerp","Bremen","1587","15870906"
"Borne, Jan","Antwerp","Bremen","1587","15871003"
"Della Faille, Jacques","Haarlem","Bremen","1587","15871004"
"Eeckeren, Robert van","Antwerp","Bremen","1587","15871130"
"Della Faille, Jacques","Haarlem","Bremen","1587","15871218"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880208"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880309"
"Achelen, Aelken van","Haarlem","Bremen","1588","15880401"
"Eeckeren, Hester van","Dordrecht","Bremen","1588","15880401"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880406"
"Noirot, Melchior","Frankfurt","Bremen","1588","15880409"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880417"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880611"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880629"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880701"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880704"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880709"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880715"
"Sixtinus, R.","Marburg","Bremen","1588","15880716"
"Sixtinus, R.","Marburg","Bremen","1588","15880727"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880727"
"Della Faille, Marten","Antwerp","Bremen","1588","15880803"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880803"
"Della Faille, Marten","Antwerp","Bremen","1588","15880810"
"Eeckeren, Robert van","Antwerp","Bremen","1588","15880824"
"Della Faille, Marten","Antwerp","Bremen","1588","15880827"
"Eeckeren, Hester van","Dordrecht","Bremen","1588","15880906"
"Meulen, Sara van der","Cologne","Bremen","1588","15880915"
"Hoest, Mattheus de","Antwerp","Middelburg","1588","15881102"
"Della Faille, Jacques","Haarlem","Bremen","1588","15881107"
"Della Faille, Jacques","Haarlem","Bremen","1588","15880508"
"Schot de Oude, Jacques","Delft","Bremen","1589","15890212"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15890315"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890414"
"Beke, Jan van der","Vlissingen","Bremen","1589","15890416"
"Bongars, Jacques","Frankfurt","Bremen","1589","15890417"
"Mandernach, Nicolas","Dordrecht","Bremen","1589","15890426"
"Grabius, Joseph","NA","NA","1589","15890428"
"Borne, Jan","Antwerp","Bremen","1589","15890503"
"Grabius, Joseph","NA","NA","1589","15890503"
"Maerschalck, Francois de","Delft","Bremen","1589","15890511"
"Bongars, Jacques","Frankfurt","Bremen","1589","15890514"
"Bongars, Jacques","Frankfurt","Bremen","1589","15890514"
"Borne, Jan","Antwerp","Bremen","1589","15890524"
"Borne, Jan","Antwerp","Bremen","1589","15890607"
"Della Faille, Marten","Antwerp","Bremen","1589","15890614"
"Janssen van der Meulen, Peeter","Stade","Bremen","1589","15890618"
"Banos, Theophile de","Frankfurt","Bremen","1589","15890619"
"Meganck, Louis","Delft","Bremen","1589","15890628"
"Janssen van der Meulen, Peeter","Stade","Bremen","1589","15890806"
"Della Faille, Marten","Antwerp","Bremen","1589","15890816"
"Wolf, Jan de","Haarlem","Bremen","1589","15890817"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890828"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890902"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890904"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890910"
"Della Faille, Jacques","Haarlem","Bremen","1589","15890923"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15890927"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15891004"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891019"
"Della Faille, Marten","Antwerp","Bremen","1589","15891020"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15891025"
"Della Faille, Marten","Antwerp","Bremen","1589","15891031"
"Della Faille, Jacques","Amsterdam","Bremen","1589","15891101"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891114"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891114"
"Della Faille, Jacques","Amsterdam","Bremen","1589","15891114"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891121"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15891122"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891212"
"Della Faille, Jacques","Haarlem","Bremen","1589","15891217"
"Eeckeren, Robert van","Antwerp","Bremen","1589","15891220"
"Della Faille, Marten","Antwerp","Bremen","1589","15891229"
"Janssen van der Meulen, Peeter","Lille","Vlissingen","1589","15901216"
"Della Faille, Marten","Antwerp","Bremen","1590","15900103"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900114"
"Pittavin","Caen","Bremen","1590","15900115"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900116"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900117"
"Eeckeren, Hester van","Haarlem","Bremen","1590","15900128"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900205"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900207"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900220"
"Della Faille, Marten","Antwerp","Bremen","1590","15900221"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900221"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900308"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900309"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900321"
"Della Faille, Marten","Antwerp","Frankfurt","1590","15900404"
"Della Faille, Jacques","Haarlem","Frankfurt","1590","15900406"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900411"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900418"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900420"
"Eeckeren, Robert van","Antwerp","Frankfurt","1590","15900425"
"Della Faille, Marten","Antwerp","Frankfurt","1590","15900428"
"Eeckeren, Robert van","Antwerp","Frankfurt","1590","15900430"
"Pampius, Albertus","Helmstedt Brunswick","Bremen","1590","15900618"
"Wolf, Jan de","Haarlem","Bremen","1590","15900626"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900627"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900703"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900724"
"d'Audenfort, Gomar","Amsterdam","Bremen","1590","15900725"
"Della Faille, Marten","Antwerp","Bremen","1590","15900801"
"Reide, Everhard de","The Hague","Bremen","1590","15900806"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900807"
"Warck, Reynerus van de","Marburg","Frankfurt","1590","15900811"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900814"
"Berrewijns, Hans","Hamburg","Bremen","1590","15900816"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900821"
"Della Faille, Marten","Antwerp","Bremen","1590","15900822"
"Kindt, P.A.","Frankfurt","Bremen","1590","15900824"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15900825"
"Stiger, Hans de","Nuremberg","Bremen","1590","15900828"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900828"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900911"
"Della Faille, Jacques","Haarlem","Bremen","1590","15900918"
"Eeckeren, Robert van","Antwerp","Frankfurt","1590","15900923"
"Wolf, Jan de","Haarlem","Bremen","1590","15900924"
"Unknown correspondents","Dieppe","NA","1590","15901001"
"Eeckeren, Francisco van","Venice","Bremen","1590","15901005"
"Beke, Jan van der","Vlissingen","Bremen","1590","15901006"
"Eeckeren, Robert van","Antwerp","Bremen","1590","15901017"
"Perger, Marttin Enrus","Hamburg","Bremen","1590","15901023"
"Bastingius, Jeremias","Dordrecht","Bremen","1590","15901210"
"Bellasi, Agostino","London","Antwerp","1591","15910207"
"Hoest, Mattheus de","Leiden","Antwerp","1591","15910212"
"Janssen van der Meulen, Peeter","Middelburg","Antwerp","1591","15910213"
"Klamp, Johann","Bremen","Antwerp","1591","15910216"
"Montens, Godevart","Bremen","Antwerp","1591","15910219"
"Janssen van der Meulen, Peeter","Middelburg","Antwerp","1591","15910225"
"Backer, Andre","Halberstadt","Bremen","1591","15910317"
"Pierens, Anna","Stade","Bremen","1591","15910411"
"Matzo, Cesaro","Leiden","Antwerp","1591","15910416"
"Bormania, Rinaldo de","Naples, Italy","Bremen","1591","15910525"
"Boots, Hans","Wesel","Bremen","1591","15910721"
"Janssen van der Meulen, Peeter","Newbury, England","Bremen","1591","15910816"
"Della Faille, Jacques","Haarlem","Bremen","1591","15910820"
"Bongars, Jacques","Frankfurt","Bremen","1591","15910823"
"Bellasi, Agostino","Verona","Bremen","1591","15910830"
"Vogele, Joos de","Haarlem","Bremen","1591","15910831"
"Lempereur, Antonio","Amsterdam","Bremen","1591","15910903"
"Eeckeren, Robert van","Antwerp","Bremen","1591","15910904"
"Maillet, Pierre","Middelburg","Bremen","1591","15910906"
"Bongars, Jacques","Frankfurt","Bremen","1591","15910906"
"Bellasi, Agostino","Verona","Bremen","1591","15910911"
"Eeckeren, Robert van","Antwerp","Bremen","1591","15910911"
"Beke, Jan van der","Vlissingen","Bremen","1591","15910912"
"Bongars, Jacques","Frankfurt","Bremen","1591","15910913"
"Eeckeren, Francisco van","Venice","Bremen","1591","15910914"
"Della Faille, Jacques","Haarlem","Bremen","1591","15910915"
"Janssen van der Meulen, Peeter","Newbury, England","Bremen","1591","15910917"
"Maillet, Pierre","Middelburg","Bremen","1591","15910917"
"Bongars, Jacques","Frankfurt","Bremen","1591","15910918"
"Hoest, Mattheus de","Leiden","Bremen","1591","15910920"
"Montens, Godevart","Leiden","Bremen","1591","15910922"
"Della Faille, Jacques","Haarlem","Bremen","1591","15910924"
"Eeckeren, Francisco van","Venice","Bremen","1591","15910927"
"Neste, Antonio van","Venice","Bremen","1591","15910927"
"Minau, Balthasar","Vicenza","Bremen","1591","15911001"
"Eeckeren, Robert van","Antwerp","Bremen","1591","15911002"
"Pittavin","Caen","Bremen","1591","15911003"
"Banos, Theophile de","Frankfurt","Bremen","1591","15911003"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911004"
"Bellasi, Agostino","Verona","Bremen","1591","15911009"
"Eeckeren, Robert van","Antwerp","Bremen","1591","15911009"
"Hoest, Mattheus de","Leiden","Leiden","1591","15911010"
"Bellasi, Agostino","Verona","Bremen","1591","15911016"
"Bellasi, Agostino","Verona","Bremen","1591","15911018"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911018"
"Janssen van der Meulen, Peeter","Newbury, England","Bremen","1591","15911019"
"Bellasi, Agostino","Verona","Bremen","1591","15911023"
"Minau, Balthasar","Vicenza","Bremen","1591","15911023"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911025"
"Eeckeren, Robert van","Antwerp","Bremen","1591","15911026"
"Minau, Balthasar","Vicenza","Bremen","1591","15911031"
"Neste, Antonio van","Venice","Bremen","1591","15911101"
"Della Faille, Marten","Antwerp","Leiden","1591","15911107"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911108"
"Bukentop, Hendrick","The Hague","Leiden","1591","15911112"
"Janssen van der Meulen, Peeter","Newbury, England","Leiden","1591","15911114"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911115"
"Minau, Balthasar","Vicenza","Bremen","1591","15911115"
"Reide, Everhard de","The Hague","Leiden","1591","15911117"
"Eeckeren, Francisco van","Venice","Bremen","1591","15911122"
"Minau, Balthasar","Vicenza","Bremen","1591","15911122"
"Frumault, Robert","The Hague","Leiden","1591","15911204"
"Janssen van der Meulen, Peeter","Newbury, England","Leiden","1591","15911208"
"Della Faille, Marten","Antwerp","Leiden","1591","15911210"
"Eynde, Anneken van den","Bergen op Zoom","Bremen","1591","NA"